date,predicted,lower_bound,upper_bound
2026-04-01,63.3319613946558,59.44934635866782,66.9695056328417
2026-05-01,64.1056241607625,60.36253161201906,67.7986377170495
2026-06-01,62.021503716560645,57.986135767683514,65.99029291208463
2026-07-01,62.000920177567316,58.2419457349022,65.69327427615242
2026-08-01,66.6533678212429,62.92870292834585,70.57073177775754
2026-09-01,63.093097059493346,59.30812377581652,66.90262699125392
2026-10-01,63.75505415660175,59.9677005307188,67.94389011969305
2026-11-01,64.10988294282883,60.15540572642148,68.05969070732145
2026-12-01,67.38879919037852,63.1739496463348,71.23026629300382
2027-01-01,66.21699868854117,62.102203958803244,69.95564200026166
2027-02-01,62.21036092985361,58.48487673431434,66.19891187768957
2027-03-01,72.00031606936258,67.95538376103052,76.06860864787457
2027-04-01,69.55727444264117,65.660703506887,73.5754609447272
2027-05-01,67.93604087936386,64.00952218962998,72.2926524762828
2027-06-01,65.07470611017276,60.91931998490503,69.01097150797168
2027-07-01,65.54474224890458,61.034224421713006,69.86673981577682
2027-08-01,71.08174753287074,66.92920647081192,75.79103114457473
2027-09-01,67.43992494971698,62.81383079618538,71.78899796755266
2027-10-01,68.09406128420123,63.82301945450462,72.3113505725865
2027-11-01,68.50985970736761,64.26890244717578,73.36247529756237
2027-12-01,71.54817250422532,66.7324812246513,76.38121586556856
2028-01-01,69.69156924243052,65.06091533922111,74.51732469397726
2028-02-01,65.54663316580688,61.12796943039852,70.42616410921008
2028-03-01,77.44785915342982,72.42609137301679,82.89840484343146
