date,sales_thousand_sar,year,month,month_name,quarter
2025-02-01,57871765.99948,2025,2,February,1
2025-03-01,65657569.4970186,2025,3,March,1
2025-04-01,52223280.030512,2025,4,April,2
2025-05-01,59499815.47184,2025,5,May,2
2025-06-01,53980536.22983,2025,6,June,2
2025-07-01,58885108.84523,2025,7,July,3
2025-08-01,62571295.93813,2025,8,August,3
2025-09-01,58242906.95013,2025,9,September,3
2025-10-01,59862413.96322,2025,10,October,4
2025-11-01,59012822.5416115,2025,11,November,4
2025-12-01,61135041.78303,2025,12,December,4
2026-01-01,63693618.20502,2026,1,January,1
2026-02-01,59880373.04817,2026,2,February,1
2026-03-01,66139645.38638,2026,3,March,1
