date,predicted,lower_bound,upper_bound
2015-01-01,13.629760035160404,9.778621510754123,17.588993304703884
2015-02-01,12.834735865142958,9.029812324450546,16.738694498329167
2015-03-01,14.885237727176003,11.232159057720075,18.85191414127889
2015-04-01,14.412695851813314,10.676995857886395,18.695161990834965
2015-05-01,14.107198048841292,10.242941997645996,18.013546606317686
2015-06-01,13.5428457219737,9.22863657619935,17.238574897857244
2015-07-01,13.669434354971003,9.736034018129109,17.626393866555347
2015-08-01,14.856097645672575,11.13989621001627,18.525923264935493
2015-09-01,14.12492717282393,9.799226456365743,17.778890101074406
2015-10-01,14.290926402845848,10.442494358761506,18.22636022718685
2015-11-01,14.408034782580089,10.552611318700736,18.058443307031794
2015-12-01,15.076875491658758,11.376553391426118,18.928369933922713
2016-01-01,14.715410728695735,10.856552760371331,18.487963902404633
2016-02-01,13.867922257292028,10.024686367477377,17.67915740039978
2016-03-01,16.41624851009771,12.72799315028265,20.360271090331853
2016-04-01,14.276160402725779,10.83058636438998,18.28445694677017
2016-05-01,15.543152538255889,11.471310095982428,19.426242601764176
2016-06-01,15.36349178030135,11.196980780261008,19.00604520393275
2016-07-01,15.165764393767569,11.206910276913307,18.89444834591445
2016-08-01,16.03166496375205,11.889034765778522,19.807230685156505
2016-09-01,15.108941489237473,11.058667911790662,18.843344123480147
2016-10-01,15.29266445429734,11.56606724313315,19.302181114047414
2016-11-01,15.370723321868896,11.05360420081079,19.316399767629374
2016-12-01,16.379300517926747,12.22261781751411,20.21665725757418
2017-01-01,16.39966855603669,12.772095764242147,20.019536704440746
2017-02-01,15.405905667102761,11.416172418391087,19.005229299555978
2017-03-01,17.71117210059032,13.809159771657393,21.565808727965674
2017-04-01,16.030454441396227,12.380746786698989,19.986695233337063
2017-05-01,16.884148514049702,13.135234050223815,20.585004089454063
2017-06-01,16.566930878890783,12.710537321674275,20.085776233266397
2017-07-01,16.507342013194137,12.728227374493672,20.610631573468346
2017-08-01,17.675169858322107,13.726820649855258,21.42644004477405
2017-09-01,15.672800926340663,11.59947991888945,19.514009135966496
2017-10-01,17.030147385211983,12.971433019403314,20.64764090405027
2017-11-01,17.190341812148617,13.052772415520165,21.17989834786344
2017-12-01,18.30778352163415,14.293635525751537,22.034825287845848
2018-01-01,18.273188798770537,14.623428716307846,22.088093498587295
2018-02-01,17.270110177147334,13.653891561803016,21.297774241138566
2018-03-01,20.027405430455357,16.119323301284492,24.133733841461794
2018-04-01,18.824410546124625,15.007929062877789,22.6796479967788
2018-05-01,19.211588133617763,15.136853618833449,22.903995394322184
2018-06-01,18.7424823855812,14.893668848629337,22.57961416736293
2018-07-01,18.885054899697955,14.72998474816544,22.600629881015358
2018-08-01,20.465678980059693,16.181926049991578,24.278543520846867
2018-09-01,19.587031760642535,15.690643160709229,23.55457284301333
2018-10-01,20.000091493298324,16.286478697119314,23.68458143073051
2018-11-01,20.324799741202472,16.49211013905188,24.16921082574678
2018-12-01,21.579117913117543,17.635990292957057,25.66185243509318
2019-01-01,21.49360806761748,17.72227234806768,25.242823560515813
2019-02-01,20.462402169722502,16.58775892639357,24.475011984326635
2019-03-01,23.96127117405797,20.410985109114737,27.73050864607008
2019-04-01,23.443404436498337,19.55454721363381,27.64678572221752
2019-05-01,23.23986588253923,19.46973452171827,27.153727395576794
2019-06-01,22.596983008829678,18.502893582178515,26.5323184010842
